id,subject,grade,accesses,mean_clicks_per_access,sd_clicks,median_time_per_access,total_time,forum_views
3663,R and the Enlightenment,0.8633333333333333,19,11.368421052631579,14.5610230345558,62s (~1.03 minutes),13557s (~3.77 hours),4
4095,R and the Enlightenment,0.8821785714285715,65,12.03076923076923,11.9477629061485,331s (~5.52 minutes),195078s (~2.26 days),247
4359,R and the Enlightenment,0.9162857142857143,89,20.60674157303371,23.8754428695375,397s (~6.62 minutes),365859.578000069s (~4.23 days),605
4858,R and the Enlightenment,0.8525238095238095,134,15.798507462686567,15.8900261197523,332.707500100136s (~5.55 minutes),356080.399000406s (~4.12 days),743
4686,R and the Enlightenment,0.7987619047619048,56,16.214285714285715,14.9808535813542,902.5s (~15.04 minutes),197081.490999937s (~2.28 days),126
4754,R and the Enlightenment,0.4400238095238095,61,20.983606557377048,23.2088286386012,112s (~1.87 minutes),216961s (~2.51 days),343
3461,R and the Enlightenment,0.7671904761904762,68,10.338235294117647,9.7500253258265,229s (~3.82 minutes),98621s (~1.14 days),55
3334,R and the Enlightenment,0.7787857142857143,37,7.891891891891892,6.2217529853097,54s,52753s (~14.65 hours),8
4471,R and the Enlightenment,0.5117428571428572,34,16.941176470588236,14.9624604532944,163.5s (~2.73 minutes),31532s (~8.76 hours),11
5612,R and the Enlightenment,0.785,144,17.444444444444443,19.135796565043,244s (~4.07 minutes),762783s (~1.26 weeks),754
4697,R and the Enlightenment,0.25,11,28.454545454545453,30.9398242928548,197s (~3.28 minutes),14388s (~4 hours),41
5040,R and the Enlightenment,0.5630000000000001,58,13.724137931034482,11.6991424238841,239s (~3.98 minutes),206313s (~2.39 days),62
4599,R and the Enlightenment,0.6857142857142857,85,9.2,10.4833200847823,31s,103587s (~1.2 days),28
4806,R and the Enlightenment,0.49833333333333335,5,28.2,35.2873915159509,54s,3715s (~1.03 hours),0
3390,R and the Enlightenment,0.6092857142857142,32,9,10.9809218721057,76.5s (~1.27 minutes),64841s (~18.01 hours),1
5545,R and the Enlightenment,0.5921632653061225,78,9.333333333333334,12.4761243843463,79.5s (~1.32 minutes),143080s (~1.66 days),88
4363,R and the Enlightenment,0.55,17,11.882352941176471,16.2668464712017,20s,32432s (~9.01 hours),0
4976,R and the Enlightenment,0.1,17,4.647058823529412,5.24334311854789,46.8580000400543s,6437.11500000954s (~1.79 hours),3
4341,R and the Enlightenment,0.8125357142857144,53,9.339622641509434,9.26312664490114,94s (~1.57 minutes),82245s (~22.85 hours),11
4055,R and the Enlightenment,0.6950357142857143,26,9.26923076923077,10.0898273218433,69.5s (~1.16 minutes),38133.1779999733s (~10.59 hours),228
5749,R and the Enlightenment,0.6868928571428572,57,14.070175438596491,17.2387226585163,304s (~5.07 minutes),87894s (~1.02 days),29
5518,R and the Enlightenment,0.5675,14,13,7.78558826392615,102.5s (~1.71 minutes),20696s (~5.75 hours),3
3985,R and the Enlightenment,0.769,29,9.310344827586206,8.00492459264859,12s,21916s (~6.09 hours),0
5509,R and the Enlightenment,0.602,21,9.523809523809524,14.2113301545599,18s,21474s (~5.96 hours),0
5419,R and the Enlightenment,0.9014,52,11.442307692307692,9.08869899777171,870.5s (~14.51 minutes),154016s (~1.78 days),1
5680,R and the Enlightenment,0.9066666666666667,266,10.93233082706767,12.2817216473187,66.5s (~1.11 minutes),402523.807999849s (~4.66 days),1085
3180,R and the Enlightenment,0.8197857142857142,23,9.304347826086957,10.2444432059918,218s (~3.63 minutes),42720s (~11.87 hours),1
